screen_name,description
Porsche,The official Twitter handle of Porsche Cars North America. Our Customer Care team is here to help. Tweet #PorscheCares or call 1-800-PORSCHE for assistance.
Lamborghini,Visionary | Cutting Edge | Pure Super Sports Car Maker. #Lamborghini
Audi,Audi of America.
MercedesBenz,Welcome to Mercedes-Benz – stay informed and follow us. For technical assistance please contact your local dealer. Provider: http://mercedes-benz.com/provider
astonmartin,"The only official Twitter account of Aston Martin Lagonda. Tweets of Power, Beauty and Soul. #astonmartin"
BMW,Welcome to the official #BMW account. http://www.bmw.com/imprint
BentleyMotors,"Welcome to the official Twitter feed for Bentley Motors. The closer you look, the more you see. #BeExtraordinary"
Jaguar,"Official Jaguar worldwide Twitter account for news, videos and photos from Jaguar cars, home to #FTYPE, #XE, #XF, #XJ and #FPACE."
Maserati_HQ,"Elegance, style, sportiness and performance with a long and glorious heritage. #Maserati, a tradition of innovation.
http://www.maserati.com"
YouTube,lol watch this
twitter,"Your official source for news, updates and tips from Twitter, Inc. Need help? Visit http://support.twitter.com."
rollsroycecars,Welcome to the official home of Rolls-Royce Motor Cars on Twitter. Follow us for news and behind-the-scenes stories on all models.
katyperry,Rising...
Lexus,"Pursuing perfection one tweet at a time. Please contact: http://bit.ly/ContactLexus for customer service inquiries. 

http://lexus.us/LexusTeam on Twitter."
taylorswift13,Born in 1989.
chevrolet,Talking Chevrolet one tweet at a time. #FindNewRoads http://s.chevy.com/pSD
Ford,Our mission is to deliver great products and make the world a better place. Go Further. http://social.ford.com.
MercedesAMG,"The official #AMG account. Follow us for announcements, updates & exclusives!(Provider: http://amg4.me/GetlXtRy) http://amg4.me/Efficiency-Statement"
MBUSA,"Welcome to the official Mercedes-Benz USA Twitter feed, home to Mercedes-Benz owners, aficionados and automotive enthusiasts."
Honda,"Official news & information from Honda's Social team at American Honda HQ in Torrance, Calif. For Customer Service ?'s tweet @HondaCustSvc"
LandRover,Welcome to the official Land Rover Twitter - follow us for updates on the iconic British automotive brand.
Cristiano,This Privacy Policy addresses the collection and use of personal information - http://www.cristianoronaldo.com/terms
Cadillac,"“At Cadillac, we dare greatly. Only those who dare drive the world forward.”"
jtimberlake,#CantStopTheFeeling
rihanna,Get #ANTI now: http://smarturl.it/daANTI
Dodge,The official Twitter of Dodge. For more: http://facebook.com/dodge   http://instagram.com/dodgeofficial
NissanUSA,"Official Twitter account of Nissan USA. 

Please contact @NissanSupport for customer service questions."
Jeep,The official Twitter handle for the Jeep® brand. For more: https://www.instagram.com/jeep
JaguarUSA,Welcome to the official Twitter feed of Jaguar USA.
JLo,"New Single #LoveMakeTheWorldGoRound out Now! #ShadesOfBlue On NBC, http://jlo.lk/jlovegastickets"
britneyspears,My new album #Glory is out now!
justinbieber,Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. OUR new single COLD WATER out now. OUR new album PURPOSE out NOW
GM,"Bringing GM information to Twitter one tweet at a time from @AnneERoberts (^AR), @psullivan85 (^PS), @kreutztweets (^AK), @ejwesterheide (^EW)"
