screen_name,name,description,,,,,,,,,,,,,
BarackObama,Barack Obama,This account is run by Organizing for Action staff. Tweets from the President are signed -bo.,,,,,,,,,,,,,
BillGates,Bill Gates,Sharing things I'm learning through my foundation work and other interests...,,,,,,,,,,,,,
nytimes,The New York Times,"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from http://NYTimes.com.",,,,,,,,,,,,,
google,Google,News and updates from Google,,,,,,,,,,,,,
NASA,NASA,Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).,,,,,,,,,,,,,
BBCBreaking,BBC Breaking News,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",,,,,,,,,,,,,
SamsungMobile,Samsung Mobile,"Be the first to know. The official go-to destination for #TheNextGalaxy real-time news, stories and more.",,,,,,,,,,,,,
BBCWorld,BBC News (World),Where we #LiveTheStory - join us http://bbc.in/1JOy0bB,,,,,,,,,,,,,
LeoDiCaprio,Leonardo DiCaprio,Actor and Environmentalist,,,,,,,,,,,,,
intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",,,,,,,,,,,,,
NatGeo,National Geographic,"Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.",,,,,,,,,,,,,
shakira,Shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: http://smarturl.it/LaBicicleta  https://www.youtube.com/watch?v=-UV0QGLmYys,,,,,,,,,,,,,
Nissan,Nissan,The official Nissan global handle. https://www.facebook.com/nissan,,,,,,,,,,,,,
cnni,CNN International,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.",,,,,,,,,,,,,
UN,United Nations,Official twitter account of #UnitedNations. Get the latest information on the #UN. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants,,,,,,,,,,,,,
DalaiLama,Dalai Lama,Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.,,,,,,,,,,,,,
rogerfederer,Roger Federer,Professional tennis player,,,,,,,,,,,,,
RealHughJackman,Hugh Jackman,Instagram: @TheHughJackman,,,,,,,,,,,,,
UNICEF,UNICEF,"UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.",,,,,,,,,,,,,
Lumia,Lumia,"The official destination for the latest news, updates and insights from the Microsoft Lumia team. For support Tweet @LumiaHelp",,,,,,,,,,,,,
nokia,Nokia,Are you ready for a new world of technology? News and updates from Nokia.,,,,,,,,,,,,,
